velocidad_bala_v,distancia_v,accion_retroceso
3,143,0
3,140,0
3,137,0
3,134,0
3,131,0
3,128,0
3,125,0
3,122,0
3,119,0
3,116,0
3,113,0
3,110,0
3,107,0
3,104,0
3,101,0
3,98,0
3,95,0
3,92,0
3,89,0
3,86,0
3,83,0
3,80,0
3,77,0
3,74,0
3,71,0
3,68,0
3,65,0
3,62,0
3,59,0
3,56,0
3,53,0
3,50,0
3,47,0
3,44,0
3,41,0
3,38,0
3,35,0
3,32,0
3,29,0
3,26,0
3,23,0
3,20,0
3,17,0
3,14,0
4,232,0
4,228,0
4,224,0
4,220,0
4,216,0
4,212,0
4,208,0
4,204,0
4,200,0
4,196,0
4,192,0
4,188,0
4,184,0
4,180,0
4,176,0
4,172,0
4,168,0
4,164,0
4,160,0
4,156,0
4,152,0
4,148,0
4,144,0
4,140,0
4,136,0
4,132,0
4,128,0
4,124,0
4,120,0
4,116,0
4,112,0
4,108,0
4,104,0
4,100,0
4,96,0
4,92,0
4,88,0
4,84,0
4,80,0
4,76,0
4,72,0
4,68,0
4,64,0
4,60,0
4,56,0
4,52,0
4,48,0
4,44,0
4,40,0
4,36,0
4,32,0
4,28,0
4,24,0
4,20,0
4,16,0
4,12,0
5,231,0
5,226,0
5,221,0
5,216,0
5,211,0
5,206,0
5,201,0
5,196,0
5,191,0
5,186,0
5,181,0
5,176,0
5,171,0
5,166,0
5,161,0
5,156,0
5,151,0
5,146,0
5,141,0
5,136,0
5,131,0
5,126,0
5,121,0
5,116,0
5,111,0
5,106,0
5,101,0
5,96,0
5,91,0
5,86,0
5,81,0
5,76,0
5,71,0
5,66,0
5,61,0
5,56,0
5,51,0
5,46,0
5,41,0
5,36,0
5,31,0
5,26,0
5,21,0
5,16,0
5,11,0
5,231,0
5,226,0
5,221,0
5,216,0
5,211,0
5,206,0
5,201,0
5,196,0
5,191,0
5,186,0
5,181,0
5,176,0
5,171,0
5,166,0
5,161,0
5,156,0
5,151,0
5,146,0
5,141,0
5,136,0
5,131,0
5,126,0
5,121,0
5,116,0
5,111,0
5,106,0
5,101,0
5,96,0
5,91,0
5,86,0
5,81,0
5,76,0
5,71,0
5,66,0
5,61,0
5,56,0
5,51,0
5,46,0
5,41,0
5,36,0
5,31,0
5,26,0
5,21,0
5,16,0
5,11,0
3,233,0
3,230,0
3,227,0
3,224,0
3,221,0
3,218,0
3,215,0
3,212,0
3,209,0
3,206,0
3,203,0
3,200,0
3,197,0
3,194,0
3,191,0
3,188,0
3,185,0
3,182,0
3,179,0
3,176,0
3,173,0
3,170,0
3,167,0
3,164,0
3,161,0
3,158,0
3,155,0
3,152,0
3,149,0
3,146,0
3,143,0
3,140,0
3,137,0
3,134,0
3,131,0
3,128,0
3,125,0
3,122,0
3,119,0
3,116,0
3,113,0
3,110,0
3,107,0
3,104,0
3,101,0
3,98,0
3,95,0
3,92,0
3,89,0
3,86,0
3,83,0
3,80,0
3,77,0
3,74,0
3,71,0
3,68,0
3,65,0
3,62,0
3,59,0
3,56,0
3,53,0
3,50,0
3,47,0
3,44,0
3,41,0
3,38,0
3,35,0
3,32,0
3,29,0
3,26,0
3,23,0
3,20,0
3,17,0
3,14,0
5,231,0
5,226,0
5,221,0
5,216,0
5,211,0
5,206,0
5,201,0
5,196,0
5,191,0
5,186,0
5,181,0
5,176,0
5,171,0
5,166,0
5,161,0
5,156,0
5,151,0
5,146,0
5,141,0
5,136,0
5,131,0
5,126,0
5,121,0
5,116,0
5,111,0
5,106,0
5,101,0
5,96,0
5,91,0
5,86,0
5,81,0
5,76,0
5,71,0
5,66,0
5,61,0
5,56,0
5,51,0
5,46,0
5,41,0
5,36,0
5,31,0
5,26,0
5,21,0
5,16,0
5,11,0
6,230,0
6,224,0
6,218,0
6,212,0
6,206,0
6,200,0
6,194,0
6,188,0
6,182,0
6,176,0
6,170,0
6,164,0
6,158,0
6,152,0
6,146,0
6,140,0
6,134,0
6,128,0
6,122,0
6,116,0
6,110,0
6,104,0
6,98,0
6,92,0
6,86,0
6,80,0
6,74,0
6,68,0
6,62,0
6,56,0
6,50,0
6,44,0
6,38,0
6,32,0
6,26,0
6,20,0
6,14,0
2,234,0
2,232,0
2,230,0
2,228,0
2,226,0
2,224,0
2,222,0
2,220,0
2,218,0
2,216,0
2,214,0
2,212,0
2,210,0
2,208,0
2,206,0
2,204,0
2,202,0
2,200,0
2,198,0
2,196,0
2,194,0
2,192,0
2,190,0
2,188,0
2,186,0
2,184,0
2,182,0
2,180,0
2,178,0
2,176,0
2,174,0
2,172,0
2,170,0
2,168,0
2,166,0
2,164,0
2,162,0
2,160,0
2,158,0
2,156,0
2,154,0
2,152,0
2,150,0
2,148,0
2,146,0
2,144,0
2,142,0
2,140,0
2,138,0
2,136,0
2,134,0
2,132,0
2,130,0
2,128,0
2,126,0
2,124,0
2,122,0
2,120,0
2,118,0
2,116,0
2,114,0
2,112,0
2,110,0
2,108,0
2,106,0
2,104,0
2,102,0
2,100,0
2,98,0
2,96,0
2,94,0
2,92,0
2,90,0
2,88,0
2,86,0
2,84,0
2,82,0
2,80,0
2,78,0
2,76,0
2,74,0
2,72,0
2,70,0
2,68,0
2,66,0
2,64,0
2,62,0
2,60,0
2,58,0
2,56,0
2,54,0
2,52,0
2,50,0
2,48,0
2,46,0
2,44,0
2,42,0
2,40,0
2,38,0
2,36,0
2,34,0
2,32,0
2,30,0
2,28,0
2,26,0
2,24,0
2,22,0
2,20,0
2,18,0
2,16,0
2,14,0
